,Min-Var,Max-Ret,Max-Sharpe,Risk-Parity,BL
ETH-USD,0.0,1.410081785912965e-13,0.0,0.0797722932730216,0.0
BTC-USD,2.233992013739123e-17,0.9999999999999752,2.1510571102112408e-15,0.10958544936279327,0.08713611378882323
SPY,0.7502519266228663,0.0,0.9237396212157994,0.28340951535633513,0.7944475391677418
IEO,0.07242941570897918,7.675953663520034e-14,0.0,0.18364602840542918,0.0
ABEV,0.1278616218834463,5.666607916817912e-14,0.016339024962146086,0.194544158868621,0.0038086351464889025
PBR,0.04945703578470825,3.746481300343369e-14,0.05992135382207949,0.1490425547337997,0.1146077118970229
